Employee,OrganizationalUnit,OrganizationalUnitDescription,Position,PositionDescription,EmployeeSubGroupDescription,Date,DayOfWeek,PT63DailyWorkSchedule,PT63DailyWorkScheduleDescription,StartTime,EndTime,PT63DailyWorkingHrs,DefaultCounterColumn,MaterializedViewLatestUpdateDate,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,29/04/2021 00:00,Thursday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,30/04/2021 00:00,Friday,DDVR,DOM WKDAY VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,01/05/2021 00:00,Saturday,DKVR,DOM WKEND VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,02/05/2021 00:00,Sunday,DKVR,DOM WKEND VAR,140000,210000,6.5,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,03/05/2021 00:00,Monday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,04/05/2021 00:00,Tuesday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,05/05/2021 00:00,Wednesday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,06/05/2021 00:00,Thursday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,07/05/2021 00:00,Friday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,08/05/2021 00:00,Saturday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,09/05/2021 00:00,Sunday,FREE,Free,000000,000000,0,1,28/10/2022 05:30,,,,
2230124,50047276,CO NO Staffs R&M 1,02401975,Distribution Operative,DOM Ann Hrs L1 Hr BH,10/05/2021 00:00,Monday,DDAY,DOM WKDAY,070000,163000,9,1,28/10/2022 05:30,,,,
